Title,Description,Category,Author,Publish_Date
25 Tips on Engaging Workplace Learners that Actually Work in t...,Your learning and development program is only as valuable as your learner’s engagement. Here are 25 proven ways to raise that engagement.,Learning and development,Anne McSilver,"Jul 26, 2022"
You’ve Been Told You Need to Be More Strategic. Where Should ...,Your boss wants you to be “more strategic.” What does that mean? This post gets specific on the steps necessary to evolve as a leader.,,Rachel Parnes,"Jul 25, 2022"
35 New Skills You Can Learn on LinkedIn Learning This Week,"Whether you’re learning how to lead through anxiety or honing your Azure skills, we’ve got you covered on those topics and more.",New courses,Rachel Parnes,"Jul 24, 2022"
6 Crucial Lessons for First-time Managers,Congratulations on your promotion! Now what? These tips for first-time managers will help you steer clear of missteps as you learn to lead.,Leadership and management,Rachel Parnes,"Jul 18, 2022"
24 New Skills You Can Learn on LinkedIn Learning This Week,"Whether you’re learning how to lead with vision or honing your Django skills, we’ve got you covered on those topics and more.",New courses,Rachel Parnes,"Jul 17, 2022"
6 Intriguing Ideas to Help Learning Leaders Find More Time,"L&D teams are stretched thin with high demand, and sacrificing their own upskilling time in the process. Here are six ideas to help you free up your schedule.",Learning and development,Anne McSilver,"Jul 12, 2022"
Skills That Help the Stranger Things Kids Conquer the Upside D...,"Discover the essential skills that helped the kids from Hawkins battle the Upside Down, and how you can build these skills for yourself.",Career success tips,Rachel Parnes,"Jul 11, 2022"
The 6 Indomitable Traits of Successful Leaders that Generate E...,How can there be teams that are fun to be on and produce extraordinary outcomes? They have leaders who generate energy and produce results. Learn how to be that leader.,Leadership and management,Jan Rutherford,"Jul 5, 2022"
The Elevator Pitch for Skills: Key Stats to Keep in Your Pocket,It’s important for executives to understand the vital importance of skill-building in L&D. But don’t make them take your word for it. Let the numbers speak.,Learning and development,Anne McSilver,"Jul 5, 2022"
34 New Skills You Can Learn on LinkedIn Learning This Week,"Whether you’re learning how to manage burnout or honing your Linux skills, we’ve got you covered on those topics and more.",New courses,Rachel Parnes,"Jul 3, 2022"
Why Curiosity Matters for Career Success and 3 Ways to Cultiva...,Curiosity may be the missing link in your career success. Find out how to leverage this skill to make an impact and grow your career.,Career success tips,Francesca Gino,"Jun 27, 2022"
37 New Skills You Can Learn on LinkedIn Learning This Week,"Whether you’re learning how to negotiate your salary or honing your Power BI skills, we’ve got you covered on those topics and more.",New courses,Rachel Parnes,"Jun 26, 2022"
How to Give a Good Presentation on a Remote Call,"The fact that your presentation will be given remotely does not need to be a major issue. In fact, with the right prep work, you can turn it to your advantage.",Productivity tips,Rachel Parnes,"Jun 20, 2022"
The Fundamental Idea That’s Critical for Learning and Innovation,"Before your team can learn, grow, or present innovative new ideas, they have to feel safe to do so. Guaranteeing that safety is your job.",Learning and development,Anne McSilver,"Jun 20, 2022"
41 New Skills You Can Learn on LinkedIn Learning This Week,"Whether you’re learning how to master leadership challenges or honing your database skills, we’ve got you covered on those topics and more.",New courses,Rachel Parnes,"Jun 19, 2022"
Advance Your Career with Tips from Top LinkedIn Learning Instr...,"It's a new day and a new opportunity to get what you want out of work. Lucky for us, the career experts from LinkedIn Learning have started new newsletters to deliver skill-buil...",Productivity tips,Shyvee Shi,"Jun 19, 2022"
7 Top Skills for Future-facing L&D Leaders (from this year’s W...,,Learning and development,Laurie Moot,"Jun 14, 2022"
The 3 Dangers of Superhero Leaders and Why Teams Don't Want Them,"If you're trying to be a superhero leader, stop. Instead, embrace your inner Peter Parker.",Leadership and management,Dana Brownlee,"Jun 13, 2022"
31 New Skills You Can Learn on LinkedIn Learning This Week,"Whether you’re learning how to become a digital nomad or honing your Revit skills, we’ve got you covered on those topics and more.",New courses,Rachel Parnes,"Jun 12, 2022"
Break the Binary at Work: How to Understand and Use Gender-inc...,"While you may think you're creating a sense of belonging for all, the words you use could be sending a different message. Understanding and practicing gender-inclusive language ...",Conversations for change,Lori Nishiura Mackenzie,"Jun 12, 2022"
LinkedIn Learning Hub Content Partners Power the New Era of Sk...,An intelligent skill-building platform with a rich ecosystem of content partners can help employees rise to future challenges.,Learning and development,Raza Syed,"Jun 9, 2022"
3 Strategies to Stop Overthinking And Make Faster Decisions,Stop overanalyzing at work. It's holding you back. Let's talk about how to spot overanalyzing and three ways to make it stop.,Career success tips,"Melody Wilding, LMSW","Jun 6, 2022"
"How to Celebrate Pride Month Today, Tomorrow, and All Year Rou...","In honor of Pride Month in the U.S., expert Rhodes Perry shares essential knowledge about the LGBTQ+ community and what you can do to be an ally all year round.",Conversations for change,"Rhodes Perry, MPA (he/him)","Jun 6, 2022"
29 New Skills You Can Learn on LinkedIn Learning This Week,"Whether you’re learning how to be the manager who fights for their team or honing your Web3 skills, we’ve got you covered on those topics and more.",New courses,Rachel Parnes,"Jun 5, 2022"
Helping People Build Skills Can Be a Powerful Purpose,"Organizations that center on purpose are more likely to attract, retain, and develop top talent. Learn how L&D can take a leading role in this journey.",Learning and development,Anne McSilver,"May 31, 2022"
Learning Like a Kid — 4 Ideas Can Add Joy to Learning at Work,Rethink your L&D strategy. Learn how a joyful learning experience boosts employee retention and productivity.,Learning and development,Linda Jingfang Cai,"May 31, 2022"
Want a Remote Job? Here's How to Find One and Nail the Interview.,Who says you can't have your cake and eat it too? More folks are living where they want to while still getting access to the big-city economies. Maybe it's time you get your slice.,Job seeking tips,Michael Gutman,"May 30, 2022"
35 New Skills You Can Learn on LinkedIn Learning This Week,"Whether you’re learning how to find happiness through empathy or honing your RPA skills, we’ve got you covered on those topics and more.",New courses,Rachel Parnes,"May 29, 2022"
How To Define and Communicate Your Value in An Interview (And ...,"The skillset to land your dream job is not the same skillset it takes to perform your dream job. Think about that for a minute. Now, let's talk about how you build that skillset.",Job seeking tips,Debbie Millman,"May 24, 2022"
"HR Pros, Your To-Do List Feels Incredibly Long — Because it is","If you work in human resources, adapting to accelerating change feels never-ending, and so does your to-do list.",Learning and development,Katrina Kibben,"May 24, 2022"
